,노선번호,구간,이정,연장,2017,2018,2019,2020,계,1~2종,3~12종,17~20년도_합계,startpoint,endpoint,startpoint_coor,endpoint_coor,rest_count,accident_count
428,,군위IC~의성IC,129~140.1,11.1,36549.0,37352.0,40314.0,40292.0,"42,145",29333,5651,154507.0,군위IC,의성IC,"(36.1991305328943, 128.559046265774)","(36.2920730643434, 128.580733439657)",2,4
429,,의성IC~안동JCT,140.1~158.1,18.0,28845.0,32571.0,31706.0,29474.0,"34,463",24602,4093,122596.0,의성IC,안동JCT,"(36.2920730643434, 128.580733439657)","(36.4321547964564, 128.621544879915)",0,0
430,,안동JCT~남안동IC,158.1~162.9,4.8,30067.0,32020.0,33503.0,32029.0,"35,505",25134,3803,127619.0,안동JCT,남안동IC,"(36.4321547964564, 128.621544879915)","(36.4750481317895, 128.621326989965)",0,0
431,,남안동IC~서안동IC,162.9~177.9,15.0,22499.0,22133.0,23938.0,22806.0,"25,967",18076,2758,91376.0,남안동IC,서안동IC,"(36.4750481317895, 128.621326989965)","(36.5886815264809, 128.626579423399)",2,0
432,,서안동IC~예천IC,177.9~191.2,13.3,18435.0,20059.0,16882.0,15977.0,"20,436",14102,2140,71353.0,서안동IC,예천IC,"(36.5886815264809, 128.626579423399)","(36.6678564372155, 128.541844363925)",0,0
433,,예천IC~영주IC,191.2~203.3,12.1,17785.0,19868.0,21259.0,20470.0,"23,271",15839,2360,79382.0,예천IC,영주IC,"(36.6678564372155, 128.541844363925)","(36.7692445680241, 128.571548770958)",0,3
434,,영주IC~풍기IC,203.3~213.5,10.2,13915.0,15912.0,15215.0,15169.0,"19,042",12891,1913,60211.0,영주IC,풍기IC,"(36.7692445680241, 128.571548770958)","(36.8526491326129, 128.530444027944)",0,1
435,,풍기IC~단양IC,213.5~230.5,17.0,19511.0,22088.0,23088.0,22255.0,"23,038",15291,2492,86942.0,풍기IC,단양IC,"(36.8526491326129, 128.530444027944)","(36.9178810673718, 128.36464199291)",0,0
436,,단양IC~북단양IC,230.5~244.8,14.3,19112.0,21273.0,20210.0,19405.0,"21,653",14233,2374,80000.0,단양IC,북단양IC,"(36.9178810673718, 128.36464199291)","(37.0149432156226, 128.288462065706)",2,0
437,,북단양IC~남제천IC,244.8~256.8,12.0,25423.0,25747.0,24188.0,23044.0,"25,876",17214,2883,98402.0,북단양IC,남제천IC,"(37.0149432156226, 128.288462065706)","(37.0761796756832, 128.181878591756)",0,0
438,,남제천IC~제천JCT,256.8~258,1.2,21249.0,20462.0,22694.0,22647.0,"23,824",16067,2709,87052.0,남제천IC,제천JCT,"(37.0761796756832, 128.181878591756)","(37.0800688082292, 128.174953182517)",0,0
439,,제천JCT~제천IC,258~265.2,7.2,55308.87963,16659.0,17010.0,16759.0,"18,190",12740,2051,105736.8796,제천JCT,제천IC,"(37.0800688082292, 128.174953182517)","(37.1331667891018, 128.14257142341)",0,0
440,,제천IC~신림IC,265.2~278,12.8,27654.0,31935.0,31278.0,30794.0,"32,431",23308,3111,121661.0,제천IC,신림IC,"(37.1331667891018, 128.14257142341)","(37.2256766332941, 128.087656315424)",0,0
441,,신림IC~남원주IC,278~296.6,18.6,30936.0,31248.0,31543.0,30660.0,"34,220",25240,3071,124387.0,신림IC,남원주IC,"(37.2256766332941, 128.087656315424)","(37.3241190720753, 127.930059491378)",2,3
442,,남원주IC~만종JCT,296.6~301.5,4.9,35044.0,42594.0,47258.0,46298.0,"47,425",35805,3944,171194.0,남원주IC,만종JCT,"(37.3241190720753, 127.930059491378)","(37.3650874129991, 127.902384841446)",0,1
443,,만종JCT~신평JCT,301.5~304.2,2.7,69945.0,37282.0,35214.0,33663.0,"36,644",27355,3587,176104.0,만종JCT,신평JCT,"(37.3650874129991, 127.902384841446)","(37.3863871102296, 127.893344898069)",0,0
444,,신평JCT~북원주IC,304.2~309.7,5.5,18197.0,18722.0,22565.0,22099.0,"25,726",19083,2448,81583.0,신평JCT,북원주IC,"(37.3863871102296, 127.893344898069)","(37.4206691669383, 127.923218188464)",0,0
445,,북원주IC~횡성IC,309.7~320.5,10.8,19589.0,20311.0,21298.0,20587.0,"24,339",18305,2479,81785.0,북원주IC,횡성IC,"(37.4206691669383, 127.923218188464)","(37.5049679706601, 127.97005803474)",2,0
446,,횡성IC~홍천IC,320.5~346.3,25.8,20101.0,20216.0,20497.0,19488.0,"22,717",17356,2364,80302.0,횡성IC,홍천IC,"(37.5049679706601, 127.97005803474)","(37.6779531313786, 127.855867340826)",0,0
447,,홍천IC~춘천JCT,346.3~357.8,11.5,23248.0,22206.0,24753.0,22761.0,"25,821",20108,2868,92968.0,홍천IC,춘천JCT,"(37.6779531313786, 127.855867340826)","(37.756084915468, 127.787941624999)",1,0
